samples,DTB-001,DTB-002,DTB-003,DTB-004,DTB-005,DTB-007,DTB-008,DTB-009,DTB-010Pro,DTB-011,DTB-018,DTB-018Pro,DTB-020,DTB-021,DTB-022,DTB-022Pro,DTB-022Pro2,DTB-023,DTB-024Pro,DTB-024Pro2,DTB-030,DTB-031,DTB-032,DTB-034,DTB-035,DTB-036,DTB-038,DTB-040,DTB-042,DTB-046,DTB-049,DTB-053,DTB-055Pro2,DTB-059,DTB-060,DTB-060Pro,DTB-061,DTB-063,DTB-063Pro,DTB-064,DTB-065,DTB-067Pro,DTB-069,DTB-071,DTB-073,DTB-073Pro,DTB-074,DTB-077Pro,DTB-080,DTB-080Pro,DTB-083,DTB-085,DTB-089,DTB-089Pro,DTB-090,DTB-090Pro,DTB-091,DTB-092,DTB-095-1,DTB-095-2,DTB-097,DTB-097Pro,DTB-098,DTB-098Pro2,DTB-100,DTB-102,DTB-102Pro,DTB-104,DTB-108,DTB-109,DTB-110,DTB-111,DTB-111Pro,DTB-112,DTB-115Pro,DTB-116,DTB-118,DTB-120,DTB-121,DTB-124,DTB-126,DTB-127,DTB-127Pro,DTB-128,DTB-129,DTB-131,DTB-132,DTB-135,DTB-135Pro,DTB-137,DTB-137Pro,DTB-138,DTB-140,DTB-141,DTB-141Pro,DTB-143,DTB-146,DTB-149,DTB-149Pro,DTB-151,DTB-154,DTB-156,DTB-159,DTB-170,DTB-174,DTB-175,DTB-176,DTB-176Pro,DTB-181,DTB-183,DTB-187,DTB-190,DTB-194,DTB-194Pro,DTB-205,DTB-206,DTB-210,DTB-210Pro,DTB-218
CDCP1,15.564167935212561,14.1517463499849,17.46383009217176,14.279845449123851,16.71247186319486,17.022763446659262,14.73410558644326,12.67865913621188,16.79400405018106,12.87583586598368,17.66035567817666,17.803410644842963,17.78648901040906,15.29216791862706,12.056811552131101,11.45265979384717,12.39696727054755,17.66678869663696,16.750432046910262,16.938164989275258,17.88605056648646,15.65064670015196,16.919614000278763,16.88591488727606,16.61168467656286,17.11964818503846,15.89892984503596,16.812684563039163,17.63088251861436,16.04823120731836,17.61621976149476,16.43510664636166,17.686397023279262,14.738315863511861,16.44726426705956,15.59422682905916,15.68026096538286,14.25282342335472,16.96074294390936,16.25915949428916,12.241723165211042,18.49640489035686,13.92973525713894,16.30328043202106,15.71994549057576,16.869812516044462,13.97136515327475,16.40729060395966,16.48026377498656,10.054859026853439,16.424137649400663,15.780038394562961,16.88763217983586,16.723207364759062,14.30996297323821,14.98250196558796,15.78108814319046,17.754964625249762,15.77622493012026,15.21653738579246,18.139503517218962,17.481680953090162,15.79803403030626,14.888251507493761,12.620304176244481,14.04054791200017,17.655319920820958,15.036278913550161,15.08666779493066,16.35328260096496,14.032992353405861,15.83189692265876,16.65809528748106,16.705787045694258,15.99734343431096,17.70746393177486,16.38994423104856,15.84317307474746,14.34432189876784,16.30104768735896,16.34028908791396,14.56042662841846,13.8916056225765,17.15451702470866,16.13962890064256,15.351825661501861,15.228217401652161,16.79064867141206,18.33506716367836,16.10773775195646,16.20967301156276,15.84351188140566,16.91605934448406,16.46938442224866,15.52285304086096,15.48566428905086,16.25154729282906,16.47465980854256,16.22388400690016,17.47248096376906,16.73308042140296,16.31650708219376,17.60326922055316,17.06804134628826,15.88877534009506,17.59895582300016,14.24710600683718,14.52440092766116,16.906861576845962,16.408598064407762,15.397935581415961,14.97833853163776,15.370202312472461,15.00935989142776,8.384751063215731,14.31587042834682,17.84863189155536,14.63243692879746,17.32306722751796
FOLH1,20.41260480444556,20.08133587856306,16.23786060587306,19.179829082874463,18.28826231249706,19.148721405714163,19.28097270184596,20.87817213503976,20.02654616143096,23.489114385047863,18.79048691875586,18.11018012387146,18.89766948004806,20.29367227149276,21.140489775025458,19.72411090637116,20.902952650876358,20.63668585446166,17.19198345783896,21.55303802746426,20.41866430481576,17.81009678372046,16.83789197874216,20.02153008913216,19.85585266671596,16.487710254744663,19.59420289155696,13.711407685248721,20.08316248990176,21.04217546657746,20.19658950656676,19.893726094114058,19.94022861851646,20.14944746173356,19.63070250151986,10.23687816286553,17.97107877981546,16.65560562613426,16.84712143432516,21.44497678990156,13.5045130824894,12.51833360460644,21.287923257477757,20.94125524523816,11.879864573709881,13.62113432759167,19.438093802030558,19.719822361689758,21.45511522598366,10.9438387327167,20.67175495819766,20.659635957457162,19.16981553928646,18.246985786075058,19.769757455864863,14.931655045986261,19.340682099505763,16.47924315774946,15.82049734919326,18.61514383514986,15.61385946045266,17.86354076150156,20.89388077191326,20.874639199561962,19.967602611686658,7.91390165174394,17.39654331650426,18.94921627496156,20.76505213866266,13.05552995306272,11.47589847286976,19.70447504855726,21.548614423603063,22.53188836977626,20.797919200515658,21.28940099963176,19.22169641279686,14.183206256038801,20.904684774285762,18.89729480256566,12.79289276176914,20.07806328547366,21.05579293746696,18.969780967716858,20.423110556214958,21.65008494706636,21.580895253987258,13.67110233323177,16.737219607720462,14.652407060974161,12.27819782020789,21.74722827041066,20.75696542113566,18.65326030541666,13.40024920480574,22.13637366426326,22.16484284176866,19.42711124001346,20.122873773076158,21.611905523658358,20.682953511597162,17.51317229367676,14.70988106990486,22.03289858025476,14.07103590747277,19.29132794133426,20.30531197594756,21.072834463203463,14.71042997711756,19.37737604967226,21.106895425854958,19.889613609848958,20.22253743094616,19.54330396296266,12.40557521789028,18.61431881766926,21.13507855312286,9.740812933301871,12.29332976733138
Subtype,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,NEPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,NEPC,NEPC
