samples,DTB-001,DTB-002,DTB-003,DTB-004,DTB-005,DTB-007,DTB-008,DTB-009,DTB-010Pro,DTB-011,DTB-018,DTB-018Pro,DTB-020,DTB-021,DTB-022,DTB-022Pro,DTB-022Pro2,DTB-023,DTB-024Pro,DTB-024Pro2,DTB-030,DTB-031,DTB-032,DTB-034,DTB-035,DTB-036,DTB-038,DTB-040,DTB-042,DTB-046,DTB-049,DTB-053,DTB-055Pro2,DTB-059,DTB-060,DTB-060Pro,DTB-061,DTB-063,DTB-063Pro,DTB-064,DTB-065,DTB-067Pro,DTB-069,DTB-071,DTB-073,DTB-073Pro,DTB-074,DTB-077Pro,DTB-080,DTB-080Pro,DTB-083,DTB-085,DTB-089,DTB-089Pro,DTB-090,DTB-090Pro,DTB-091,DTB-092,DTB-095-1,DTB-095-2,DTB-097,DTB-097Pro,DTB-098,DTB-098Pro2,DTB-100,DTB-102,DTB-102Pro,DTB-104,DTB-108,DTB-109,DTB-110,DTB-111,DTB-111Pro,DTB-112,DTB-115Pro,DTB-116,DTB-118,DTB-120,DTB-121,DTB-124,DTB-126,DTB-127,DTB-127Pro,DTB-128,DTB-129,DTB-131,DTB-132,DTB-135,DTB-135Pro,DTB-137,DTB-137Pro,DTB-138,DTB-140,DTB-141,DTB-141Pro,DTB-143,DTB-146,DTB-149,DTB-149Pro,DTB-151,DTB-154,DTB-156,DTB-159,DTB-170,DTB-174,DTB-175,DTB-176,DTB-176Pro,DTB-181,DTB-183,DTB-187,DTB-190,DTB-194,DTB-194Pro,DTB-205,DTB-206,DTB-210,DTB-210Pro,DTB-218
CDCP1,15.564167935212561,14.1517463499849,17.46383009217176,14.279845449123851,16.71247186319486,17.022763446659262,14.73410558644326,12.67865913621188,16.79400405018106,12.87583586598368,17.66035567817666,17.803410644842963,17.78648901040906,15.29216791862706,12.056811552131101,11.45265979384717,12.39696727054755,17.66678869663696,16.750432046910262,16.938164989275258,17.88605056648646,15.65064670015196,16.919614000278763,16.88591488727606,16.61168467656286,17.11964818503846,15.89892984503596,16.812684563039163,17.63088251861436,16.04823120731836,17.61621976149476,16.43510664636166,17.686397023279262,14.738315863511861,16.44726426705956,15.59422682905916,15.68026096538286,14.25282342335472,16.96074294390936,16.25915949428916,12.241723165211042,18.49640489035686,13.92973525713894,16.30328043202106,15.71994549057576,16.869812516044462,13.97136515327475,16.40729060395966,16.48026377498656,10.054859026853439,16.424137649400663,15.780038394562961,16.88763217983586,16.723207364759062,14.30996297323821,14.98250196558796,15.78108814319046,17.754964625249762,15.77622493012026,15.21653738579246,18.139503517218962,17.481680953090162,15.79803403030626,14.888251507493761,12.620304176244481,14.04054791200017,17.655319920820958,15.036278913550161,15.08666779493066,16.35328260096496,14.032992353405861,15.83189692265876,16.65809528748106,16.705787045694258,15.99734343431096,17.70746393177486,16.38994423104856,15.84317307474746,14.34432189876784,16.30104768735896,16.34028908791396,14.56042662841846,13.8916056225765,17.15451702470866,16.13962890064256,15.351825661501861,15.228217401652161,16.79064867141206,18.33506716367836,16.10773775195646,16.20967301156276,15.84351188140566,16.91605934448406,16.46938442224866,15.52285304086096,15.48566428905086,16.25154729282906,16.47465980854256,16.22388400690016,17.47248096376906,16.73308042140296,16.31650708219376,17.60326922055316,17.06804134628826,15.88877534009506,17.59895582300016,14.24710600683718,14.52440092766116,16.906861576845962,16.408598064407762,15.397935581415961,14.97833853163776,15.370202312472461,15.00935989142776,8.384751063215731,14.31587042834682,17.84863189155536,14.63243692879746,17.32306722751796
PTEN,14.177984250033111,17.68480078122516,17.05697316777946,14.77102952792636,17.07105153866146,17.26213506801436,17.563069447988262,17.811948608048958,17.249168666916958,19.37521849630786,17.53703297231546,16.67007003645456,16.26402947197876,16.58218529870086,17.682892660784262,17.44745153338766,18.03810721128626,18.023277687830962,16.96167912251376,17.56743557093526,18.47217002010126,16.47396696936626,16.37212589466546,15.26165217429726,18.09411835239656,16.186553280200663,17.80481640963806,16.63271572695626,17.46217012538866,15.58832546411036,15.75111170702506,16.98047316066616,16.97667859270946,17.73408501273606,17.94423743329676,18.05866037578436,15.514571597205661,17.91339234579096,18.57558551649496,17.186580871593762,18.35458627448406,13.65624470155501,19.500911232871758,18.10617662605836,17.996282253632963,17.62351245836506,18.38506495043916,16.302356558526462,17.041286485252762,17.91493292954496,18.21257894843876,18.42530954403916,16.26152354002246,17.17944144887456,15.93601993571216,15.162906581303961,16.499658488085963,14.73710303364266,18.63450293766746,17.93666516294936,16.15878881009786,15.64021165990756,17.840217058023363,17.14479039727546,13.90021561360597,18.12967188286446,17.145914847006658,16.59499947583926,17.41375812299476,18.746845276943958,18.12463112171866,17.83094413923866,17.781900581745163,15.49279716678226,18.028041327951158,16.20961003812006,18.332525945922463,16.77501867802826,12.98127034882922,16.131606093987962,17.08351980306196,16.734202669386562,17.233793085050962,18.320100354700358,16.25709149878086,15.520749167179961,17.764469550585062,15.92701350501396,13.068956941934461,17.82859882741976,17.38501749118636,18.49430123366586,17.01755208550136,16.33929765706386,16.18621650060166,17.35072610752606,18.16570409036386,16.72703348988676,17.32804320490516,18.83602887329856,18.120955757517862,16.91809353182506,18.33246930174306,14.69622094462176,18.11088012461856,15.748319160263561,15.85896263058156,17.412335769914762,14.71811521583196,18.46022650698646,15.32583696412026,17.95958530496436,17.59625804761556,18.83983336988406,17.22350296174066,18.50328816523576,18.37081217094716,18.34273450950056,15.87300416951706
Subtype,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,NEPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,AdPC,NEPC,AdPC,AdPC,NEPC,NEPC
